Player,Team,Position,Age,Games,Receptions_per_Game,Receiving_Yards_per_Game,Rushing_Yards_per_Game,Rushing_Attempts_per_Game
Darrell Daniels,ARI,NA,25,11,0.1,0.4,NA,NA
Darrell Henderson,LAR,NA,22,13,0.3,2.8,11.3,3
Darren Fells,HOU,TE,33,16,2.1,21.3,NA,NA
Darren Sproles,PHI,/rb,36,6,1,4,11,2.8
Darren Waller,OAK,TE,27,16,5.6,71.6,0.3,0.1
Darrius Shepherd,GNB,NA,24,6,0.2,0.2,NA,NA
Darwin Thompson,KAN,NA,22,12,0.8,3.6,10.7,3.1
Davante Adams,GNB,WR,27,12,6.9,83.1,NA,NA
David Blough,DET,qb,24,5,0.2,3.8,6.2,1.6
David Johnson,ARI,rb,28,13,2.8,28.5,26.5,7.2
David Montgomery,CHI,rb,22,16,1.6,11.6,55.6,15.1
David Moore,SEA,NA,24,14,1.2,21.5,1.8,0.2
David Njoku,CLE,NA,23,4,1.3,10.3,NA,NA
David Quessenberry,TEN,NA,29,4,0.3,0.3,NA,NA
Dawson Knox,BUF,TE,23,15,1.9,25.9,0.6,0.1
De'Anthony Thomas,2TM,NA,26,14,0.1,0.4,0.4,0.1
De'Lance Turner,MIA,NA,24,8,0,0,0.8,0.5
DeAndre Carter,HOU,NA,26,16,0.7,10.1,NA,NA
DeAndre Hopkins,HOU,WR,27,15,6.9,77.7,1.2,0.1
DeAndre Washington,OAK,NA,26,16,2.3,18.3,24.2,6.8
DeAndrew White,CAR,NA,28,10,0.4,5.1,NA,NA
Dede Westbrook,JAX,WR,26,15,4.4,44,1.8,0.3
Deebo Samuel,SFO,WR,23,15,3.8,53.5,10.6,0.9
Delanie Walker,TEN,/te,35,7,3,30.7,NA,NA
Demarcus Robinson,KAN,wr,25,16,2,28.1,NA,NA
Demaryius Thomas,NYJ,WR,32,11,3.3,39.4,NA,NA
Demetrius Harris,CLE,TE,28,15,1,9.9,NA,NA
Dennis Kelly,TEN,NA,29,15,0.1,0.1,NA,NA
Deon Cain,2TM,NA,23,13,0.7,9.5,NA,NA
Deon Yelder,KAN,NA,24,9,0.3,5.6,NA,NA
Deontay Burnett,PHI,NA,22,1,2,48,NA,NA
Deonte Harris,NOR,NA,22,14,0.4,1.7,2.2,0.3
Derek Carr,OAK,QB,28,16,0,0,5.1,1.7
Derek Carrier,OAK,NA,29,16,0.8,6.8,1.7,0.1
Derek Watt,LAC,/fb,27,16,0.2,2,0.6,0.4
Derrick Henry ,TEN,RB,25,15,1.2,13.7,102.7,20.2
Derrius Guice,WAS,NA,22,5,1.4,15.8,49,8.4
DeSean Jackson,PHI,NA,33,3,3,53,NA,NA
Deshaun Watson,HOU,QB,24,15,0.1,0.4,27.5,5.5
