player,age,g,gs,mp,fg,x3p,x2p,ft,trb,ast,stl,blk,tov,pf,pts
Terry Rozier,25,63,63,34.3,6.3,2.7,3.6,2.6,4.4,4.1,1,0.2,2.2,2,18
Thabo Sefolosha,35,41,0,10.6,0.8999999999999999,0.4000000000000001,0.5,0.10000000000000002,2.3,0.6,0.6,0.3,0.4000000000000001,1,2.2
Thaddeus Young,31,64,16,24.9,4.2,1.2,3,0.7,4.9,1.8,1.4,0.4,1.6,2.1,10.3
Thanasis Antetokounmpo,27,20,2,6.5,1.2,0,1.2,0.4,1.2,0.8,0.4,0.1,0.6,0.9,2.8
Theo Pinson,24,33,0,11.1,1.4,0.5,0.9,0.5,1.6,1.7,0.5,0.1,1,1.1,3.6
Thomas Bryant,22,46,36,24.9,5.3,0.8,4.5,1.9,7.2,1.8,0.5,1.1,1.2,2.2,13.2
Thon Maker,22,60,14,12.9,1.6,0.4,1.2,1.2,2.8,0.7,0.4,0.7,0.8,1.7,4.7
Tim Frazier,29,27,11,13.1,1.3,0.4,0.9,0.7,1.2,3.4,0.5,0.1,1.3,1.6,3.6
Tim Hardaway Jr.,27,71,58,29.5,5.4,2.9,2.5,2.1,3.3,1.9000000000000001,0.6,0.1,1,1.8,15.799999999999999
Timothé Luwawu-Cabarrot,24,47,2,18.1,2.5,1.3,1.2,1.5,2.7,0.6,0.4,0.1,0.8,2.3,7.799999999999999
Tobias Harris,27,72,72,34.3,7.699999999999999,1.7999999999999998,5.9,2.4,6.9,3.2,0.7,0.6,1.4,2.3,19.6
Tomáš Satoranský,28,65,64,28.9,3.6,1,2.7,1.6,3.9,5.4,1.2,0.1,2,2.1,9.9
Tony Bradley,22,58,3,11.4,2.2,0.1,2.1,0.5,4.6,0.4,0.2,0.6,0.5,2,4.9
Tony Snell,28,59,57,27.8,2.9,1.7,1.2,0.5,1.9,2.2,0.5,0.3,0.5,1.7,8
Torrey Craig,29,58,27,18.5,2.1,0.8,1.4,0.4,3.3,0.8,0.4,0.6,0.4,2.3,5.4
Trae Young,21,60,60,35.3,9.1,3.4,5.7,8,4.3,9.3,1.1,0.1,4.8,1.7,29.6
Tremont Waters,22,11,1,10.8,1.3,0.4,0.9,0.7,1.1,1.5,0.9,0.2,1.4,1.2,3.6
Treveon Graham,26,110,40,16.9,1.59,0.6,0.9900000000000001,0.67,2.7100000000000004,0.8099999999999999,0.41000000000000003,0.12000000000000001,0.53,1.8699999999999999,4.420000000000001
Trevor Ariza,34,106,42,28.173584905660373,2.686792452830189,1.4594339622641508,1.2273584905660377,1.2075471698113207,4.639622641509433,1.729245283018868,1.2990566037735851,0.28962264150943395,1.079245283018868,2.109433962264151,7.990566037735849
Trey Burke,27,66,2,15.796969696969695,2.8424242424242423,0.9696969696969697,1.8848484848484848,0.696969696969697,1.5106060606060607,2.5060606060606063,0.49696969696969695,0.06212121212121213,0.6227272727272728,0.9848484848484849,7.3893939393939405
Trey Lyles,24,63,53,20.2,2.4,1,1.4,0.5,5.7,1.1,0.4,0.4,0.6,1.6,6.4
Tristan Thompson,28,57,51,30.2,5.1,0.2,4.9,1.7,10.1,2.1,0.6,0.9,1.8,2.2,12
Troy Brown Jr.,20,69,22,25.8,4,0.9,3.1,1.6,5.6,2.6,1.2,0.1,1.1,1.9,10.4
Troy Daniels,28,94,0,11.302127659574468,1.5127659574468084,1,0.5627659574468085,0.1872340425531915,1.0936170212765959,0.3627659574468085,0.21914893617021278,0.09361702127659575,0.2691489361702128,0.7819148936170213,4.256382978723405
Ty Jerome,22,31,0,10.6,1.2,0.5,0.8,0.4,1.5,1.4,0.5,0.1,0.6,0.9,3.3
Tyler Cook,22,26,0,4.184615384615385,0.5923076923076922,0,0.5923076923076922,0.5384615384615384,1.0846153846153848,0.09230769230769233,0.21923076923076923,0,0.21923076923076923,0.40769230769230774,1.7730769230769232
Tyler Herro,20,55,8,27.4,4.9,2.1,2.8,1.6,4.1,2.2,0.6,0.2,1.6,1.4,13.5
Tyler Johnson,27,78,14,18.18974358974359,2.4948717948717953,1.0025641025641026,1.5025641025641026,1.103846153846154,1.9333333333333331,1.8935897435897435,0.41025641025641024,0.22948717948717948,0.7294871794871794,1.5012820512820513,6.996153846153847
Tyler Zeller,30,2,0,2,0.5,0,0.5,0,2,0,0,0,0,0,1
Tyrone Wallace,25,14,0,11.4,1,0.1,0.9,0.8,1.6,0.9,0.5,0.1,0.7,1.4,2.9
Tyson Chandler,37,26,5,8.4,0.5,0,0.5,0.2,2.5,0.2,0.2,0.3,0.3,1.2,1.3000000000000003
Tyus Jones,23,65,6,19,3,0.7,2.3,0.7,1.6,4.4,0.9,0.1,0.8,0.7,7.4
Udonis Haslem,39,4,1,11,1,0.3,0.8,0.8,4,0.3,0,0,0.3,1.5,3
Vic Law,24,8,0,7.8,0.8,0.1,0.6,0.3,1.4,0.4,0.3,0,0.3,0.8,1.9
Victor Oladipo,27,19,16,27.8,5.1,1.7,3.4,2.5,3.9,2.9,0.9,0.2,2.5,1.9000000000000001,14.5
Vince Carter,43,60,0,14.6,1.8,1,0.8,0.4,2.1,0.8,0.4,0.4,0.6,1.5,5
Vincent Poirier,26,22,0,5.9,0.8,0,0.7,0.3,2,0.4,0.1,0.4,0.4,1.1,1.9
Vlatko Čančar,22,14,0,3.2,0.4,0.1,0.4,0.3,0.7,0.2,0.1,0.1,0.2,0.5,1.2
Wayne Ellington,32,36,1,15.5,1.7,1.4,0.3,0.3,1.7999999999999998,1.2,0.4,0.1,0.5,1.1,5.1
Wendell Carter Jr.,20,43,43,29.2,4.3,0.09999999999999999,4.1,2.6,9.4,1.2,0.7999999999999999,0.7999999999999999,1.7,3.8000000000000003,11.3
Wenyen Gabriel,22,60,2,7.821666666666666,0.6950000000000001,0.21333333333333335,0.5,0.5,1.7116666666666667,0.3,0.38166666666666665,0.23166666666666666,0.5316666666666666,1.2983333333333331,2.09
